base	derivative	probability	sublexicon	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	F: Ident [front]	F: Ident [rounded]	F: Ident [low]	F: Ident [high]
a nn o s	a nn o s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
p o rr a s	p o rr a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
k i pp o	k i pp o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
v a k au s	v a k au s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
p r e ss u	p r e ss u B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
t o t uu s	t o t uu s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	3	0	2	1	3	2	1	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	0	4	3	0	2	1	3	2	1	0	0	0	0	0	2	1	1	3	0	0	0	0
t u pp o	t u pp o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
h uo l t o	h uo l t o B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	3	0	1	2	3	1	2	0	0	0	0	0	1	2	2	3	0	0	0	0	0	0	0	4	3	0	1	2	3	1	2	0	0	0	0	0	1	2	2	3	0	0	0	0
m u l kk u	m u l kk u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
s aa p a s	s aa p a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	4	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0
z oo m au s	z oo m au s B	1	Insert [B] at -1	0	0	0	0	0	0	0	4	3	1	1	3	3	1	2	1	0	1	1	0	1	3	2	3	0	0	0	0	0	0	0	5	3	1	1	3	3	1	2	1	0	1	1	0	1	3	2	3	0	0	0	0
g aa l a	g aa l a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	4	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0
ai tt a	ai tt a B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
s e ll u	s e ll u B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
k o l tt a	k o l tt a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
t a e	t a e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
k o n tt i	k o n tt i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
m ie t o	m ie t o B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	1	0	0	1	1	0	1	2	1	1	0	2	1	2	2	3	2	0	2	1	1	0	2	2	1	0	0	1	1	0	1	2	1	1	0	2	1	2	2	3	0	0	0	0
v a r m uu s	v a r m uu s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0	0	0	0	4	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0
p a r s a	p a r s a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
l i m b o	l i m b o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
h o h d e	h o h d e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
m u mm o	m u mm o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
h e t u	h e t u B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
e t uu s	e t uu s B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	2	0	2	2	0	1	0	1	0	1	2	1	1	3	1	0	1	0	1	0	1	3	2	0	2	0	2	2	0	1	0	1	0	1	2	1	1	3	0	0	0	0
t uu r a	t uu r a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0	0	0	0	4	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0
t s aa r i	t s aa r i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
e l o	e l o B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
v a kk a	v a kk a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
t oi s t o	t oi s t o B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	0	2	2	0	2	1	1	0	0	1	1	2	2	3	1	0	1	1	0	0	1	3	2	0	0	2	2	0	2	1	1	0	0	1	1	2	2	3	0	0	0	0
aa r i	aa r i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
k a n a	k a n a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
t yö m aa	t yö m aa B	1	Insert [B] at -1	2	2	0	1	1	0	2	2	0	2	0	2	2	1	1	2	0	2	2	0	1	3	1	2	2	2	0	1	1	0	2	3	0	2	0	2	2	1	1	2	0	2	2	0	1	3	1	2	0	0	0	0
s a d i n	s a d i n B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
p aa s t o	p aa s t o B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	0	3	1	0	1	2	0	2	2	0	0	3	1	1	0	0	0	0	0	0	0	4	1	2	0	3	1	0	1	2	0	2	2	0	0	3	1	1	0	0	0	0
a l tt o	a l tt o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
s a t s i	s a t s i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k uo l ai n	k uo l ai n B	1	Insert [B] at -1	1	0	1	1	0	0	1	3	2	1	1	2	2	1	1	2	1	1	1	1	2	2	1	3	1	0	1	1	0	0	1	4	2	1	1	2	2	1	1	2	1	1	1	1	2	2	1	3	0	0	0	0
k uo r m ai n	k uo r m ai n B	1	Insert [B] at -1	1	0	1	1	0	0	1	3	2	1	1	2	2	1	1	2	1	1	1	1	2	2	1	3	1	0	1	1	0	0	1	4	2	1	1	2	2	1	1	2	1	1	1	1	2	2	1	3	0	0	0	0
s a l i	s a l i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
o t s o	o t s o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	3	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0
l i n j a	l i n j a B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
l ui s t o	l ui s t o B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	1	0	1	1	0	0	1	3	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	0	0	0	0
h ui m au s	h ui m au s B	1	Insert [B] at -1	1	0	1	1	0	0	1	3	2	1	2	1	2	2	0	2	1	1	1	1	3	1	0	3	1	0	1	1	0	0	1	4	2	1	2	1	2	2	0	2	1	1	1	1	3	1	0	3	0	0	0	0
f r o t ee	f r o t ee B	1	Insert [B] at -1	2	0	2	0	2	0	2	1	1	0	0	1	1	0	1	2	0	2	0	2	0	3	3	3	2	0	2	0	2	0	2	2	1	0	0	1	1	0	1	2	0	2	0	2	0	3	3	3	0	0	0	0
k u v au s	k u v au s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0	0	0	0	4	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0
r a m pp i	r a m pp i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
l u m i	l u m i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
s u k u	s u k u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
t uu b a	t uu b a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0	0	0	0	4	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0
l uo m a	l uo m a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0	0	0	0	4	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0
k o h d e	k o h d e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
l a p i s	l a p i s B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k uo ll u t	k uo ll u t B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	3	0	2	1	3	2	1	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	0	4	3	0	2	1	3	2	1	0	0	0	0	0	2	1	1	3	0	0	0	0
v a r i s	v a r i s B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
r e p o	r e p o B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
k oi r a s	k oi r a s B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	1	0	1	1	0	0	1	3	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	0	0	0	0
k a ll i s	k a ll i s B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k a r j a	k a r j a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
p iu h a	p iu h a B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0	2	1	0	1	1	0	0	1	3	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0	2	0	0	0	0
p u h e	p u h e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
s l a ng i	s l a ng i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
f o n i	f o n i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
k aa r t o	k aa r t o B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	0	3	1	0	1	2	0	2	2	0	0	3	1	1	0	0	0	0	0	0	0	4	1	2	0	3	1	0	1	2	0	2	2	0	0	3	1	1	0	0	0	0
t ai t a	t ai t a B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
a l t ai	a l t ai B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
o l a s	o l a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
s i r u	s i r u B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
n i r kk o	n i r kk o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
a s e	a s e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
p a m au s	p a m au s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
aa rr e	aa rr e B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	0	2	0	2	0	0	0	3	0	3	2	1	0	3	1	1	1	0	1	0	1	0	1	3	0	2	0	2	0	0	0	3	0	3	2	1	0	3	1	1	0	0	0	0
l i k s a	l i k s a B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
l a p s eu s	l a p s eu s B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	1	1	1	1	1	1	0	2	0	2	1	1	1	2	1	2	1	0	1	0	1	0	1	3	1	1	1	1	1	1	0	2	0	2	1	1	1	2	1	2	0	0	0	0
l ai t a	l ai t a B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
p ii r u	p ii r u B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	1	0	1	0	1	1	0	2	2	0	0	2	3	0	0	3	2	0	2	2	0	0	2	2	1	0	1	0	1	1	0	2	2	0	0	2	3	0	0	3	0	0	0	0
k u t u	k u t u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
p i r t u	p i r t u B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
u h r i	u h r i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
k i r n u	k i r n u B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
h uu r u	h uu r u B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	3	0	3	0	3	3	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	4	3	0	3	0	3	3	0	0	0	0	0	0	3	0	0	3	0	0	0	0
v uo s i	v uo s i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	1	0	1	1	0	0	1	3	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	0	0	0	0
t u n k u	t u n k u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
k e r h o	k e r h o B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
k o r t e	k o r t e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
p aa tt i	p aa tt i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
t u p l a	t u p l a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
r ie m u	r ie m u B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	1	0	1	0	1	1	0	2	1	1	0	2	2	1	1	3	2	0	2	1	1	0	2	2	1	0	1	0	1	1	0	2	1	1	0	2	2	1	1	3	0	0	0	0
n i pp u	n i pp u B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
n aa l i	n aa l i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
r e h u	r e h u B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
l ai t o n	l ai t o n B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	1	0	1	1	0	0	1	3	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	0	0	0	0
t ai g a	t ai g a B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
p a s m a	p a s m a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
r au h a	r au h a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
k ei kk a	k ei kk a B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	2	0	2	1	1	0	2	2	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	0	0	0	0
t oi s eu s	t oi s eu s B	1	Insert [B] at -1	2	0	2	1	1	0	2	2	2	0	1	1	2	1	1	2	1	1	0	2	2	2	2	4	2	0	2	1	1	0	2	3	2	0	1	1	2	1	1	2	1	1	0	2	2	2	2	4	0	0	0	0
oi n a s	oi n a s B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	1	0	1	1	0	0	1	3	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	0	0	0	0
h a v a s	h a v a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
v oi n t i	v oi n t i B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	1	0	0	1	1	0	1	2	2	0	0	2	2	1	1	3	2	0	2	2	0	0	2	2	1	0	0	1	1	0	1	2	2	0	0	2	2	1	1	3	0	0	0	0
s uu d e	s uu d e B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	2	0	2	2	0	1	0	1	0	1	2	1	1	3	1	0	1	0	1	0	1	3	2	0	2	0	2	2	0	1	0	1	0	1	2	1	1	3	0	0	0	0
k l oo n au s	k l oo n au s B	1	Insert [B] at -1	0	0	0	0	0	0	0	4	3	1	1	3	3	1	2	1	0	1	1	0	1	3	2	3	0	0	0	0	0	0	0	5	3	1	1	3	3	1	2	1	0	1	1	0	1	3	2	3	0	0	0	0
j u ll i	j u ll i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
n u h a	n u h a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
